type,alphaID,numID,size,mode,description
IPID,00001006,0x00001006,,,00001006
CFG,MMEMINQ,0b00000,16,W,MEMIN_Q
CFG,MMEMINI,0b00010,16,W,MEMIN_I
CFG,MMEMOUTQ,0b00100,16,R,MEMOUT_Q
CFG,MMEMOUTI,0b00110,16,R,MEMOUT_I
CFG,AMEMINQ,0b00001,1,W,Set Write Address Pointer of MMEMINQ
CFG,AMEMINI,0b00011,1,W,Set Write Address Pointer of MMEMINI
CFG,AMEMOUTQ,0b00101,1,W,Set Read Address Pointer of MMEMOUTQ
CFG,AMEMOUTI,0b00111,1,W,Set Read Address Pointer of MMEMOUTI
CFG,CCONFIGREG,0b01000,4,W,CONFIGREG
CFG,ACONFIGREG,0b01001,1,W,Set Write Address of CCONFIGREG
CFG,STATUS,0b11110,1,B,IP status register
CFG,IPID,0b11111,1,R,IP ID
